código,NOME,ESCALAS:
105,0032PA SEG A SAB 07:00 AS 15:00:20,0032PA SEG A SAB 07:00 AS 15:00:20
106,0033 SEG A SAB 13 HS AS 21:20,0033 SEG A SAB 13 HS AS 21:20
107,0034 6X1 5X2 07:00 AS 17:00,0034 6X1 5X2 07:00 AS 17:00
108,0035 SEG A SEX 14:00 AS 23:00 SAB 14:00 AS 18:00,0035 SEG A SEX 14:00 AS 23:00 SAB 14:00 AS 18:00
109,0036 SEG A SEX 14:00 AS 23:00 SAB 14:00 AS 19:00,0036 SEG A SEX 14:00 AS 23:00 SAB 14:00 AS 19:00
110,0037 SEG A QUI 14:00 AS 00:00 E SEX 14:00 AS 23:00,0037 SEG A QUI 14:00 AS 00:00 E SEX 14:00 AS 23:00
111,0038PA SEG A QUI 22:00 AS 08:00 E SEX 22:00 AS 07:00,0038PA SEG A QUI 22:00 AS 08:00 E SEX 22:00 AS 07:00
112,0039PA SEG A SEX 04:30 AS 13:00 E SAB 04:30 AS 11:00,0039PA SEG A SEX 04:30 AS 13:00 E SAB 04:30 AS 11:00
113,0040PA SEG A QUIN 20:00 AS 06:00 SEX 20:00 AS 05:00,0040PA SEG A QUIN 20:00 AS 06:00 SEX 20:00 AS 05:00
114,0041PA SEG A QUIN 18:00 AS 04:00 SEX 18:00 AS 03:00,0041PA SEG A QUIN 18:00 AS 04:00 SEX 18:00 AS 03:00
115,0042PA SEG A QUIN 21:00 AS 07:00 SEX 21:00 AS 06:00,0042PA SEG A QUIN 21:00 AS 07:00 SEX 21:00 AS 06:00
116,0043PA SEG A QUI 07:30 AS 17:00:30 SEX 07:30 AS 16:00:30,0043PA SEG A QUI 07:30 AS 17:00:30 SEX 07:30 AS 16:00:30
117,0044PA 07:00 12:00 / 13:15 17:00,0044PA 07:00 12:00 / 13:15 17:00
118,0045PA SEG A SAB 15:00 AS 22:00,0045PA SEG A SAB 15:00 AS 22:00
119,0046 SEG A QUI 05:00 AS 15:00 SEX 05:00 AS 14:00,0046 SEG A QUI 05:00 AS 15:00 SEX 05:00 AS 14:00
120,0047 SEG A SEX 06:00 AS 15:00 SAB 08:00 AS 12:00,0047 SEG A SEX 06:00 AS 15:00 SAB 08:00 AS 12:00
121,0048 SEG A QUI 07:00 AS 18:00 SEX 07:00 AS 17:00 ALMOCO 2 HR,0048 SEG A QUI 07:00 AS 18:00 SEX 07:00 AS 17:00 ALMOCO 2 HR
122,0049 SEG A SEX 08:00 AS 18:00 SAB 08:00 AS 12:00 ALMOCO 2 HR,0049 SEG A SEX 08:00 AS 18:00 SAB 08:00 AS 12:00 ALMOCO 2 HR
123,0050 SEG A QUI 08:40 AS 19:00:40 SEX 08:40 AS 18:00:40 REF 02:00,0050 SEG A QUI 08:40 AS 19:00:40 SEX 08:40 AS 18:00:40 REF 02:00
124,0051 SEG A SEX 15:00 AS 00:00 SAB 15:00 AS 23:00,0051 SEG A SEX 15:00 AS 00:00 SAB 15:00 AS 23:00
125,0052 SEG A SEX 16:00 AS 01:00 SAB 16:00 AS 00:00,0052 SEG A SEX 16:00 AS 01:00 SAB 16:00 AS 00:00
126,0053 12X36 DIURNO 07:00 AS 19:00,0053 12X36 DIURNO 07:00 AS 19:00
127,0054 12X36 NOTURNO 19:00 AS 07:00,0054 12X36 NOTURNO 19:00 AS 07:00
128,0055PA 2X1 08:00 AS 18:00,0055PA 2X1 08:00 AS 18:00
129,0056 4X1 06:00 AS 15:00,0056 4X1 06:00 AS 15:00
130,0057 4X1 07:00 AS 17:00,0057 4X1 07:00 AS 17:00
131,0058 4X1 08:00 AS 18:00,0058 4X1 08:00 AS 18:00
132,0059 4X1 15:00 AS 00:00,0059 4X1 15:00 AS 00:00
133,0060PA 4X1 15:30 AS 00:00:30,0060PA 4X1 15:30 AS 00:00:30
134,0061 4X1 16:00 AS 01:00,0061 4X1 16:00 AS 01:00
135,0062 4X1 19:00 AS 04:00,0062 4X1 19:00 AS 04:00
136,0063 4X1 21:00 AS 06:00,0063 4X1 21:00 AS 06:00
137,0064PA TER A SEX DAS 10:00 AS 20:00 SAB DAS 10:00 AS 19:00,0064PA TER A SEX DAS 10:00 AS 20:00 SAB DAS 10:00 AS 19:00
138,0065 TER A SEX DAS 13:00 AS 22:00 SAB DAS 13:00 AS 17:00,0065 TER A SEX DAS 13:00 AS 22:00 SAB DAS 13:00 AS 17:00
139,0066 SEG A SEX 07:00 AS 16:00 SAB 07:00:00 AS 11:00:00,0066 SEG A SEX 07:00 AS 16:00 SAB 07:00:00 AS 11:00:00
140,0067 SEG A QUI DAS 06:30 AS 16:00:30 SEX DAS 06:30 AS 15:00:30,0067 SEG A QUI DAS 06:30 AS 16:00:30 SEX DAS 06:30 AS 15:00:30
141,0067 SEG A SEX 15:00 AS 01:00,0067 SEG A SEX 15:00 AS 01:00
142,0068PA SEG A QUI 13:00 AS 23:00 SEX 13:00 AS 22:00,0068PA SEG A QUI 13:00 AS 23:00 SEX 13:00 AS 22:00
143,0069 SEG A SEX 19:00 AS 05:00,0069 SEG A SEX 19:00 AS 05:00
144,0070PA SEG A SEX 09:00 AS 18:00 SAB 09:00 AS 13:00,0070PA SEG A SEX 09:00 AS 18:00 SAB 09:00 AS 13:00
145,0071 12X36 DAS 12:00:00 AS 00:00:00.,0071 12X36 DAS 12:00:00 AS 00:00:00.
146,0072PA SEG A QUIN 07:30 AS 18:00 SEX 07:30:00 AS 17:00:00,0072PA SEG A QUIN 07:30 AS 18:00 SEX 07:30:00 AS 17:00:00
147,0073PA 12X36 18:00 AS 06:00,0073PA 12X36 18:00 AS 06:00
148,0074 SEG A SEX 05:00 AS 14:00 SAB 05:00 AS 09:00.,0074 SEG A SEX 05:00 AS 14:00 SAB 05:00 AS 09:00.
149,0075 TER A SEX 07:00 AS 17:00 SAB 07:00 AS 16:00.,0075 TER A SEX 07:00 AS 17:00 SAB 07:00 AS 16:00.
150,0076 SEG A SEX DAS 05:00 AS 14:00 SAB 07:00 AS 11:00.,0076 SEG A SEX DAS 05:00 AS 14:00 SAB 07:00 AS 11:00.
151,0077 SEG A QUI DAS 13:00 AS 23:00 SEX 13:00 22:00.,0077 SEG A QUI DAS 13:00 AS 23:00 SEX 13:00 22:00.
152,0078PA 4X1 4X2 3X2 3X2 06:00 AS 15:00 TMA A,0078PA 4X1 4X2 3X2 3X2 06:00 AS 15:00 TMA A
153,0079PA 4X1 4X2 3X2 3X2 14:00 AS 23:00 TMA A,0079PA 4X1 4X2 3X2 3X2 14:00 AS 23:00 TMA A
154,0080PA 4X1 4X2 3X2 3X2 21:00 AS 06:00 TMA A,0080PA 4X1 4X2 3X2 3X2 21:00 AS 06:00 TMA A
155,0081PA 4X1 4X2 3X2 3X2 05:00 AS 14:00 TMA A,0081PA 4X1 4X2 3X2 3X2 05:00 AS 14:00 TMA A
156,0082PA 4X1 4X2 3X2 3X2 13:00 AS 22:00 TMA A,0082PA 4X1 4X2 3X2 3X2 13:00 AS 22:00 TMA A
157,0083 SEG A QUIN 16:00 AS 02:00 SEX 16:00 AS 01:00.,0083 SEG A QUIN 16:00 AS 02:00 SEX 16:00 AS 01:00.
158,0084 12X36 06:00 AS 18:00.,0084 12X36 06:00 AS 18:00.
159,0077PA SEG A QUI DAS 13:00 AS 23:00 SEX 13:00 22:00,0077PA SEG A QUI DAS 13:00 AS 23:00 SEX 13:00 22:00
160,0085 SEG A SAB 06:00 AS 14:00:20 C/01:00.,0085 SEG A SAB 06:00 AS 14:00:20 C/01:00.
161,0086 SEG A SAB 14:20 AS 22:00:40 C/01:00 COPIA,0086 SEG A SAB 14:20 AS 22:00:40 C/01:00 COPIA
162,0087PA 4X1 4X2 3X2 3X2 20:00 AS 05:00 TMA A,0087PA 4X1 4X2 3X2 3X2 20:00 AS 05:00 TMA A
163,0088PA SEG A SAB 10:00 AS 18:00:20 (PA),0088PA SEG A SAB 10:00 AS 18:00:20 (PA)
164,0078PA 4X1 4X2 3X2 3X2 06:00 AS 15:00 TMA B,0078PA 4X1 4X2 3X2 3X2 06:00 AS 15:00 TMA B
165,0078PA 4X1 4X2 3X2 3X2 06:00 AS 15:00 TMA C,0078PA 4X1 4X2 3X2 3X2 06:00 AS 15:00 TMA C
166,0079PA 4X1 4X2 3X2 3X2 14:00 AS 23:00 TMA B,0079PA 4X1 4X2 3X2 3X2 14:00 AS 23:00 TMA B
167,0079PA 4X1 4X2 3X2 3X2 14:00 AS 23:00 TMA C,0079PA 4X1 4X2 3X2 3X2 14:00 AS 23:00 TMA C
168,0080PA 4X1 4X2 3X2 3X2 21:00 AS 06:00 TMA B,0080PA 4X1 4X2 3X2 3X2 21:00 AS 06:00 TMA B
169,0080PA 4X1 4X2 3X2 3X2 21:00 AS 06:00 TMA C,0080PA 4X1 4X2 3X2 3X2 21:00 AS 06:00 TMA C
170,0081PA 4X1 4X2 3X2 3X2 05:00 AS 14:00 TMA B,0081PA 4X1 4X2 3X2 3X2 05:00 AS 14:00 TMA B
171,0081PA 4X1 4X2 3X2 3X2 05:00 AS 14:00 TMA C,0081PA 4X1 4X2 3X2 3X2 05:00 AS 14:00 TMA C
172,0082PA 4X1 4X2 3X2 3X2 13:00 AS 22:00 TMA B,0082PA 4X1 4X2 3X2 3X2 13:00 AS 22:00 TMA B
173,0082PA 4X1 4X2 3X2 3X2 13:00 AS 22:00 TMA C,0082PA 4X1 4X2 3X2 3X2 13:00 AS 22:00 TMA C
174,0087PA 4X1 4X2 3X2 3X2 20:00 AS 05:00 TMA B,0087PA 4X1 4X2 3X2 3X2 20:00 AS 05:00 TMA B
175,0087PA 4X1 4X2 3X2 3X2 20:00 AS 05:00 TMA C,0087PA 4X1 4X2 3X2 3X2 20:00 AS 05:00 TMA C
176,2X2 SUP TMA M,2X2 SUP TMA M
177,2X2 SUP TMA N,2X2 SUP TMA N
178,0089 SEG A QUI 21:00 AS 07:00 SEX DAS 21:00 AS 07:00:00:00 AS 07:00,0089 SEG A QUI 21:00 AS 07:00 SEX DAS 21:00 AS 07:00:00:00 AS 07:00
179,0090 SEG A SEX DAS 12:00 AS 21:00,0090 SEG A SEX DAS 12:00 AS 21:00
180,0091PA 4X1 4X2 3X2 3X2 22:00 AS 07:00 TMA A,0091PA 4X1 4X2 3X2 3X2 22:00 AS 07:00 TMA A
